WesternProvince,CentralProvince,SouthernProvince,SabaragamuwaProvince,EasternProvince,NothernProvince,NothernWesternProvince,NorthCentralProvince,UvaProvince
,Kandangama,,Opatha,,,,, Kolonwinna
,Kandanhena,,Otnapitiya,,,,, Komaligama
,Kandapola,,Owala,,,,, Komarikagama
,Kande,,Owala Kudabage,,,,, Kongahakumbura
,Kandegama,,Owala Mahabage,,,,, Kongahalinda
,Kandegedara,,Owatta,,,,, Kongolla
,Kandekumbura,,Owatura,,,,, Konketiya
,Kandekumbura,,Owitigamuwa,,,,, Kontahela
,Kandekumbura,,Owitiwara,,,,, Koruppugama
,Kandemoragolla,,Padalangala,,,,, Kosgama Medawela
,Kandewela,,Padawigampola,,,,, Kosgama Pallewela
,Kanduregoda,,Padidora,,,,, Kosgama Udawela
,Kandy,,Padugama,,,,, Kosgolla
,Kannadeniya,,Pagalowita,,,,, Koskanuwa
,Kapuliyadda,,Pagoda,,,,, Koslanda
,Kaputupola,,Pahala Dayigala,,,,, Kossalpola
,Karagala,,Pahala Hinguruwaka,,,,, Kotabakme
,Karagama,,Pahala Kalugala,,,,, Kotabowa
,Karagastenna,,Pahala Pohorabawa,,,,, Kotabowe Vidiya
,Karakolagahatenna,,Rabbidigala,,,,, Kotagama
,Karakolagastenna,,Radagoda,,,,, Kotaganwella
,Karaliyadda,,Raddella,,,,, Kotagoda
,Karalliyada Kandegammedda,,Ragala,,,,, Kotakitulegama
,Karalliyadda,,Ragalkanda,,,,, Kotamuduna
,Kandegammedda,,Rahala,,,,, Kotaneluwa
,Karamada,,Rajawaka,,,,, Kotawera Pallegama
,Karamindula,,Rakwana,,,,, Kotawera Udagama
,Karandagolla,,Rambuka,,,,, Kotaweramankada
,Karandamaditta,,Rambukanagama,,,,, Kotiagoda
,Karuwalagahadewala,,Sannasgama,,,,, Kotigalhela
,Karuwalakelewatta,,Selawa,,,,, Kotigoda
,Karuwalakelle,,Silanarawa,,,,, Kotika-arawa
,Katarandana,,Silogama,,,,, Kotikanbokka
,Katarandena,,Singagoda,,,,, Kotmallanda
,Kathurupitiya,,Singahagoda,,,,, Kottagala
,Katugastota,,Singappulikanda,,,,, Kottagoda Pallegama
,Katumana,,Sinhalagoda,,,,, Kottagoda Udagama
,Katupathwela,,Sitagalapanguwa,,,,, Kottalbedda Medagangoda
,Kavudupelella,,Sitagangula,,,,,Labugastalawa
,Kavudupitiya,,Siyambalangamuwa,,,,, Landegama
,Kavulpana,,Siyambalapitiya,,,,, Landewela
,Kavulpone,,Siyambalapitiya,,,,, Landewela Bibiligamuwa
,Kawdupelella,,Siyambalapitiya,,,,, Leangawella
,Kawudupelella,,Siyambalawa,,,,, Lemastota
,Keenagolla,,Siyambalawala,,,,, Lindamulla
,Keerapone,,Siyambalawala,,,,, Liyadipitiya North
,Kehelella,,Sudagala,,,,, Liyadipitiya South
,Kehelwala,,Suduhakurukanda,,,,, Liyangolla
,Kehelwatta,,Suriyakanda,,,,, Lolle
,Kehelwatta,,Rassagala,,,,, Lollegama
,Kekelawatta,,Talagahawatta,,,,, Lukasgoda
,Kekulalanda,,Talagahayaya,,,,, Lunugala
,Kekulalla,,Talagaskanda,,,,, Lunupottawela
,Kekulanda,,Talangama,,,,,Madam
,Keliyalpitiya,,Talangama,,,,, Madawalanda
,Kendagolla,,Talapitiya,,,,, Madowita Landewela
,Kendagollamada,,Talapitiya,,,,, Madugahapattiya
,Kendaliadda,,Talawatta,,,,, Madugama
,Kendaliyadda,,Taldewa,,,,, Madugasmulla
,Kendangamuwa,,Talduwa,,,,, Madugastalawa
,Kengalla,,Uda Beddewala,,,,, Madulsima
,Kengalla Pahalagammedda,,Uda Dadayankanda,,,,, Madura Oya
,Ketakandura,,Uda Galadeniya,,,,, Magandanamulla
,Ketakumbura,,Uda Hinguruwaka,,,,, Magandena
,Ketayapatana,,Uda Karandupone,,,,, Maha-arawa
,Kimbulantota,,Uda Pamunuwa,,,,, Mahabadullagammana
,Kindigoda,,Uda Yogama,,,,, Mahagama
,Kinigama,,Udabage,,,,, Mahagangoda
,Kinigama,,Udagama,,,,, Mahagoda
,Kiralagama,,Veddagala,,,,, Mahakalugolla
,Kiralagolla,,Wadakahadeniya,,,,, Mahakandura
,Kiralessa,,Wadamaldeniya,,,,, Mahalunuke
,Kirapane,,Waddeniya,,,,, Mahapitiya
,Kirapone,,Wadiyatenna,,,,, Maharawa
,Kiribatkumbura,,Wadukanda,,,,, Mahaulpota
,Kirimedilla,,Wadumulla,,,,, Mahawela
,Kirimetiya,,Wadupola,,,,, Mahawelagama
,Kirimetiyawa,,Waduwadeniya,,,,, Mahawelatota
,Kirinda,,Waduwawela,,,,, Mailagamuwa
,Kirindewela,,Waguregama,,,,, Mailagastenna
,Kirindiketiya,,,,,,, Makulgolla
,Kirindiwelpola,,,,,,, Makulgolla
,Kirioruwa,,,,,,, Makulla
,Kiripattiya,,,,,,, Makullewatta
,Kiriwan Eliya,,,,,,, Makulugolla
,Kiriwanagoda,,,,,,, Malaboda
,Kiriwaula,,,,,,, Malabodagolla
,Kiriwavula,,,,,,, Maladanambe
,Kirlulgama,,,,,,, Malagastalawe Vidiya
,Kitulangomuwa,,,,,,, Malangama
,Kituldora,,,,,,, Malangamuwa
,Kitulpe,,,,,,, Malattewela
,Kiul-ulpota,,,,,,, Malgastalawe Vidiya
,Kiula,,,,,,, Malgoda
,Kiulewadiya,,,,,,, Maligahena
,Kobbeakaduwa,,,,,,, Maligatenna
,Kobbekaduwa,,,,,,, Malitenna
,Kobbewala,,,,,,, Malitta
,Kobbewehera,,,,,,, Malittenna
,Kochchikaduwa,,,,,,, Maliyadda
,Kohilawatta,,,,,,, Malwattegama
,Kohodeniya,,,,,,, Manaulpotta
,Koholanwala,,,,,,, Manawela
,Koholanwela,,,,,,, Mapa-Ella
,Koholdeniya,,,,,,, Marakkanawa
,Kohomada,,,,,,, Marawa
,Kohonapuwakgaha-ela,,,,,,, Mariarawa
,Kollawela,,,,,,, Maspanna
,Kolonella,,,,,,, Matikumbura
,Kolongastenna,,,,,,, Mausagolla
,Kolugala,,,,,,, Mayilagastenna
,Konakagala,,,,,,, Mayilahinna
,Konakalagala,,,,,,, Medabedda
,Kondadeniya,,,,,,, Medagama
,Kongahakotuwa,,,,,,, Medagedara
,Kongahamulla,,,,,,, Medagedaragama
,Kongahawela,,,,,,, Medagodagama
,Konkalagala,,,,,,, Medaoya
,Korahagoda,,,,,,, Medaoyegama
,Korahana,,,,,,, Medapatana
,Kosgalla,,,,,,, Medaperuwa
,Kosgama,,,,,,, Medawela
,Kosgolla,,,,,,, Medayaya
,Koshinna,,,,,,, Medebedda
,Kosinna,,,,,,, Medipitagama
,Koskote,,,,,,, Medipitiya
,Kosruppe,,,,,,, Medipokuna
,Kossinna,,,,,,, Meditale
,Koswana,,,,,,, Medyaye
,Koswatta,,,,,,, Meegahawela
,Kotabogoda,,,,,,, Mellagama
,Kotagala,,,,,,, Menadena
,Kotagepitiya,,,,,,, Mendalapitiya
,Kotakedeniya,,,,,,, Metigahatenna
,Kotakepitiya,,,,,,, Metipimbiya
,Kotakumbura,,,,,,, Metiwalalanda
,Kotaligoda,,,,,,, Mideniya
,Kotambe,,,,,,, Migahakiula
,Kotawagura,,,,,,, Migahawela
,Kotikambe,,,,,,, Migaswewa
,Kotinkaduwa,,,,,,, Migollegama
,Kotiyagala,,,,,,, Millabedda
,Kotmale,,,,,,, Mipanawa
,Kottala,,,,,,, Mirahana
,Kottinkaduwa,,,,,,, Mirahawatta
,Labugama,,,,,,, Mirisalgangoda
,Labugolla,,,,,,, Miriswatta
,Lagamuwa,,,,,,, Miriyabedda
,Landupita,,,,,,, Miyalgala
,Lappanagama,,,,,,, Miyanakandura
,Legundeniya,,,,,,, Miyangoda
,Leloya,,,,,,, Molandeniya
,Lemasuriyagama,,,,,,, Monaragala
,Lenadora,,,,,,, Monarawana
,Lenawala,,,,,,, Monaragala
,Lendora,,,,,,, Moragahamada
,Lesliewatta,,,,,,, Moragahapitiya
,Letiyahena,,,,,,, Moragahaulpota
,Leudeniya,,,,,,, Moragolla
,Lewdeniya,,,,,,, Morahela
,Lewella,,,,,,, Moramalpokuna
,Lewellagolla,,,,,,, Morana
,Lewla,,,,,,, Morattamulla
,Lindula,,,,,,, Moratuwegama
,Linipitiya,,,,,,, Moretota
,Liniyaketiya,,,,,,, Motamale
,Liyandeniya,,,,,,, Mudagamuwa
,Liyanwela Helagama,,,,,,, Mudawa
,Liyanwela Pahalagama,,,,,,, Mudiyala
,Loolkade,,,,,,, Mudumpitagama
,Lunugama,,,,,,, Mugunumata
,Maberiya,,,,,,, Mullegama
,Madadeniya,,,,,,, Munhena
,Madahapolakanda,,,,,,, Muppane
,Madakumbura,,,,,,, Muthugalawela
,Madampitiya,,,,,,, Muttettuwegama
,Madanwala,,,,,,, Muttukalewela
,Madawala,,,,,,, Mutuketiyawa
,Madawala Demalabage,,,,,,,Nagahadoruwa
,Madawala Madige,,,,,,, Nagolla
,Madawala Ulpota,,,,,,, Nahangoda
,Madiligama,,,,,,, Nakiyawela
,Madipola Marakkalabage,,,,,,, Nakkala
,Madugalla,,,,,,, Nambana
,Madulkele,,,,,,, Namunukula
,Madulkele Bazaar,,,,,,, Nannapurawa
,Madulla,,,,,,, Nape
,Madumana,,,,,,, Napepanguwa
,Maha Aswedduma,,,,,,, Naranmankada
,Maha Pattapola,,,,,,, Naranwana
,Mahagama Egodagama,,,,,,, Naththaranwalatenna
,Mahagama Megodagama,,,,,,, Naththaranweltenna
,Mahaiyawa,,,,,,, Naulla
,Mahakumbura,,,,,,, Nawala
,Mahalakotuwa,,,,,,, Nawalagama
,Mahalevakanda,,,,,,, Nawaneliya
,Mahanurora,,,,,,, Nawela
,Mahanuvara,,,,,,, Nawelagama
,Mahara,,,,,,, Nayinnewela
,Mahawala,,,,,,, Neboda
,Mahawatta,,,,,,, Neboda South
,Mailapitiya Lower,,,,,,, Neluw
,Mailapitiya Upper,,,,,,, Nemiella
,Maiyangana,,,,,,, Nevugala
,Makeliyawala,,,,,,, Newgala
,Makempe,,,,,,, Nik-aar
,Makuldeniya,,,,,,, Nik-ara
,Makulussa Colony,,,,,,, Nika-ara
,Malagammana,,,,,,, Nikapitiya
,Malagekumbura,,,,,,, Nikapota
,Malanwatta,,,,,,, Nikapotha
,Maldeniya,,,,,,, Nikawewa
,Malgammana,,,,,,, Nilawabedda
,Malgandeniya,,,,,,, Nilgala
,Malhewa,,,,,,, Niyadagala
,Maligatenna,,,,,,, Niyandagala
,Maliyadda,,,,,,, Nugadandawela
,Malulla,,,,,,, Nugamure
,Malwanahinna,,,,,,, Nugatalawa
,Mampitiya,,,,,,,Obbekota
,Manaboda,,,,,,, Ohiya
,Manahinda,,,,,,, Okkampitiya
,Manakola,,,,,,, Okkampitiya Ihalagama
,Mandandawela,,,,,,, Okurawa
,Mandaran Newara,,,,,,, Okuruwawa
,Mangalagama,,,,,,,Padukumbura
,Mangoda,,,,,,, Pahala Dangamuwa
,Manilwala,,,,,,, Pahala Pewwewa
,Mapanawatura,,,,,,, Pahala Pussellawa
,Mapanawatura,,,,,,, Pahala Tuntala
,Maradurawala,,,,,,, Pahala-Pewuwewa
,Maraka,,,,,,, Pahalagalbokka
,Marakkalagama,,,,,,, Pahalakumbura
,Marassana,,,,,,, Pahalaoya
,Maratugoda,,,,,,, Pahalayalkumbura
,Maratuwela,,,,,,, Pahamburutota
,Marawanagoda,,,,,,, Paile
,Martuwela,,,,,,, Palagolla
,Maruddana,,,,,,, Palawatta
,Marukona,,,,,,, Pallabahirawa
,Maskeliya,,,,,,, Pallapanguwa
,Maswela,,,,,,, Pallatalawa
,Matalapitiya,,,,,,, Palle Ranugalla
,Matale,,,,,,, Palle Tambana
,Matale Polwatta,,,,,,, Palle Waradola
,Matale Town,,,,,,, Palle-ella
,"Matgamuwa, ",,,,,,, Pallebahirawa
,Maturata,,,,,,, Pallebedda
,Mawatagama,,,,,,, Pallegama
,Mawatapola,,,,,,, Pallekanda
,Mawatura,,,,,,, Pallekiruwa
,Mawela,,,,,,, Pallemallehewa
,Mawilmada,,,,,,, Pallepanguwa
,Meda-Ela,,,,,,, Pallepattiyakumbura
,Medabedda,,,,,,, Palleperuwa
,Medagahawatura,,,,,,, Palletalawa
,Medagama,,,,,,, Pallewela
,Medagammedda,,,,,,, Pallewelipitiya
,Medagoda,,,,,,, Palugama
,Medakanda,,,,,,, Palugama-ella
,Medakele,,,,,,, Paluwatta
,Medakumbura,,,,,,, Panagoda
,Medapihilla,,,,,,, Panagodagama
,Medapititenna,,,,,,, Panakanniya
,Medapitiya,,,,,,, Panamapanguwa
,Medawala,,,,,,, Panditagama
,Meddegoda,,,,,,, Pangaragammana
,Meddehinna,,,,,,, Pangura
,Medilla,,,,,,, Panguwa
,Medilletenna,,,,,,, Panmedilla
,Mediriya,,,,,,, Pannakanniya
,Mediwaka,,,,,,, Pannalagama
,Mediyapola,,,,,,, Pansalwatta
,Meepitiya,,,,,,, Papale
,Mellagola,,,,,,, Paragaha-Ulpota
,Menikbowa,,,,,,, Paragahaella
,Menikdiwela,,,,,,, Paragolla
,Menikhinna,,,,,,, Paranagama
,Menikhinna Town,,,,,,, Parapawa
,Metagama,,,,,,, Paretota
,Metibembiya,,,,,,, Paspewela
,Metibokka,,,,,,, Passara
,Metideniya,,,,,,, Pataha
,Metihakka,,,,,,, Patahagala
,Metiwalatenna,,,,,,, Patanagedara
,Mideniya,,,,,,, Pathagala
,Migahahena,,,,,,, Pattaganwela
,Migammana,,,,,,, Pattipola
,Migammana Ihalagammedda,,,,,,, Pattipolagama
,Migammana Mahagammedda,,,,,,, Pattiyagedaragama
,Migammana Pallegama,,,,,,, Pattiyagoda
,Migaskotuwa,,,,,,, Pattiyakumbura
,Millapitiya,,,,,,, Pattiyawatta
,Millawana,,,,,,, Peelipotagama
,Millawana Ihalagama,,,,,,, Pelliwinna
,Millawana Pahalagama,,,,,,, Pelwatta
,Mimura,,,,,,, Pelwatta Pahalawela
,Minigamuwa,,,,,,, Pelwatta Udawela
,Minipe,,,,,,, Perahettiya
,Minuwangamuwa,,,,,,, Perawella
,Mipitiya,,,,,,, Petiyagoda
,Mirahampe,,,,,,, Pettaganwela
,Mirissala,,,,,,, Pewuwewa
,Miriyakada,,,,,,, Pidakumbura
,Miruppa,,,,,,, Pidakumburagama
,Mitalawa,,,,,,, Pilipotagama
,Miwaladeniya,,,,,,, Pillekumbura
,Miwatura,,,,,,, Pillewela
,Miyanagolla,,,,,,, Pimburaulpota
,Miyanakolamada,,,,,,, Pinnagolla
,Moladanda,,,,,,, Pissegama
,Molagoda,,,,,,, Pitadeniya
,Monaruwila,,,,,,, Pitahagedaragama
,Moragahamula,,,,,,, Pitakola Pallegama
,Moragahamulla,,,,,,, Pitakola Udagama
,Moragahaulpota,,,,,,, Pitakumbura
,Moragaspitiya,,,,,,, Pitamaruwa
,Moragolla,,,,,,, Pitatalawa
,Moragolleyaya,,,,,,, Pitawela
,Morahenegama,,,,,,, Pitawelagama
,Morape,,,,,,, Pitiyekumbura
,Morape Pallegammedda,,,,,,, Piyarapana
,Morape Udagammedda,,,,,,, Polgahaarawa
,Motamure,,,,,,, Polgahagama
,Mottuwela,,,,,,, Polgahakumbura
,Nabadagahawatta,,,,,,, Polgahatenna
,Nagahapola,,,,,,, Polkotan-arawa
,Nagahatenna,,,,,,, Polwatta
,Nagasena,,,,,,, Poodulla
,Nagolla,,,,,,, Pottaganwela
,Nalanda,,,,,,, Potubandana
,Namadagala,,,,,,, Potuliyadda
,Nanu Oya,,,,,,, Pubbara
,Nanumure,,,,,,, Puhulpola
,Napana Disaneggammedda,,,,,,, Punawinna
,Napana Disanekgammedda,,,,,,, Puralewela
,Napana Hunuangegammedda,,,,,,, Puranwela
,Napatawela,,,,,,, Puselketiya
,Narandanda,,,,,,, Pussalgolla
,Narangolla,,,,,,, Pussallakanda
,Narangomuwa,,,,,,, Pusselketiya
,Naranpanawa,,,,,,, Pussellawa
,Naranpanawa Dembatagolla,,,,,,, Puwakgahawatta
,Naranpanawa Disaneggammedda,,,,,,, Puwakgoda
,Naranpanawa Egodagammedda,,,,,,,Radakandurewela
,Naranpanawa Kandegammedda,,,,,,, Radaliyadda
,Naranpanawa Karagastenna,,,,,,, Rahupola
,Naranpanawe Dembatagolla,,,,,,, Rambukpota
,Naranpanawe Disanekgammedda,,,,,,, Ranasinghagama
,Naranpanawe Egodagammedda,,,,,,, Randeniya
,Naranpanawe Kandegammedda,,,,,,, Rannanguhawa
,Naranpanawe Karagastenna,,,,,,, Ranugalla
,"Narantalawa, Naranwala ",,,,,,, Ratambe
,"Naranwita, Nattarampota",,,,,,, Ratana
,Naula,,,,,,, Ratkarauwa
,Navangama,,,,,,, Rathkarawwa
,Nawalapitiya,,,,,,, Ratkitakanda
,Nawangama,,,,,,, Ratkittakanda
,Nawaragoda,,,,,,, Ratmalewehera
,Nawayalatenna,,,,,,, Ratmalgahaella
,Nawayalatenna Bazaar,,,,,,, Ratmalwehera
,Nawela,,,,,,, Rattanadeniya
,Nayakumbura,,,,,,, Rawanaella
,Nehiniwala,,,,,,, Rerawa
,Nelugolla,,,,,,, Rerupitiya
,Neluwakanda,,,,,,, Reulvala
,Nikagolla,,,,,,, Revulvala
,Nikahetiya,,,,,,, Rideepana
,Nikatenna ,,,,,,, Ridimaliyadda
,Nikawatawana,,,,,,, Ridimalliadde
,Nikawehera,,,,,,, Ridipana
,Nikawella,,,,,,, Ritigaha-arawa
,Nilagama,,,,,,, Ritigahadowa
,Nilawala,,,,,,, Ritigahawatta
,Nildandahinna,,,,,,, Ritikumbura
,Nilgala,,,,,,, Rittawela
,Nillambe,,,,,,, Rukkattana
,Nira-ella,,,,,,, Ruppebedda
,"Nittawela, Nittultenna",,,,,,,Seeniagaslanda
,Nituletenna,,,,,,, Seenigaslanda
,Nitulgahakotuwa,,,,,,, Senapathiya
,Niyambepola,,,,,,, Senapatiya
,Niyangama,,,,,,, Seranegama
,Niyangandara,,,,,,, Sinuggala
,Niyangandora,,,,,,, Sittarama
,Niyangoda,,,,,,, Siyambala-anduwa
,Niyarepola,,,,,,, Siyambalagune
,Norton,,,,,,, Siyambalanduwa
,Norto,,,,,,, Siyambalawinna
,Bridge,,,,,,, Soranatota
,Norwood,,,,,,, Stripuregama
,Norwood Bazaar,,,,,,, Sudupanawela
,Nugahapola,,,,,,, Sudupanawelagama
,Nugaliyadda,,,,,,, Suriya-aar
,Nugapitiya,,,,,,, Suriya-ara
,Nugatenna,,,,,,,Talabowatta
,Nugatota,,,,,,, Talagahagedara
,Nugawela,,,,,,, Talagangoda
,Nugawelagammedda,,,,,,, Talakolawewa
,Nugetenna,,,,,,, Talakumbura
,Nuwara Dodanwala,,,,,,, Talangamuwa
,Nuwara Dodanwela,,,,,,, Talapuranwela
,Nuwara Eliya,,,,,,, Talawa
,Nuwara Eliya Town,,,,,,, Talawatta
,Oggomuwa,,,,,,, Talawegama
,Ogodapola,,,,,,, Taldena
,Olaganwatta,,,,,,, Talgahadigane
,Old Peradeniya,,,,,,, Talgahakumbura
,Oligama,,,,,,, Talkota
,Oluwawatta,,,,,,, Tallanda
,Opalagala,,,,,,, Tampalawela
,Opalgalawatta,,,,,,, Tanamalwila
,Opalla,,,,,,, Telhawadigama
,Otagama,,,,,,, Tellulla
,Otalawa,,,,,,, Tembakumbura
,Ovisa,,,,,,, Tembakumburegama
,Owala ,,,,,,, Tennakonwela
,Owalapolwatta,,,,,,, Tennuge
,Owisa,,,,,,, Terappahuwa
,Oyatenna,,,,,,, Terela
,Padeniya,,,,,,, Tetille
,Padiwitagama,,,,,,, Thampalawela
,Padiwitawela,,,,,,, Thelhawadigama
,Padiyapelella,,,,,,, Thenkeliya
,Paduangoda,,,,,,, Thimbirigaspitiya
,Padupola,,,,,,, Timbirigahamankada
,Paduwangoda,,,,,,, Timbiriya
,Pahaladiggala,,,,,,, Tithawelkandura
,Pahalagammedda,,,,,,, Tiththawelkeula
,Pahalakande Bavulana,,,,,,, Tittawelgolla
,Pahalawela,,,,,,, Tittawelkandura
,Pahalawewa,,,,,,, Tolabowatta
,Paladoraell,,,,,,, Tolabowatta Pallegama
,Palagolla,,,,,,, Tolabowatta Udagama
,Palapatwela,,,,,,, Tundawela
,Palawa,,,,,,, Tunnawa
,Paldeniya,,,,,,,Uda Oyegama
,Palipana,,,,,,, Uda Waradola
,Palkade,,,,,,, Uda-Dompe
,Palkumbura,,,,,,, Uda-arawa
,Pallama,,,,,,, Uda-oyagama
,Palle,,,,,,, Udabahirawa
,Aludeniya,,,,,,, Udabokka
,Palle Deltota,,,,,,, Udadambiya
,Palle Galadebokka,,,,,,, Udagama
,Palle Hapuwida,,,,,,, Udagangoda
,Palle Henepola,,,,,,, Uda Oyegama
,Palle Ihagama,,,,,,, Uda Waradola
,Palle Mailapitiy,,,,,,, Uda-Dompe
,Palle Makuruppe,,,,,,, Uda-arawa
,Palle Talawinna,,,,,,, Uda-oyagama
,0Palle Talawinna Udagammedda,,,,,,, Udabahirawa
,Palle Weragama,,,,,,, Udabokka
,Palleaswedduma,,,,,,, Udadambiya
,Pallegama,,,,,,, Udagama
,Pallegama Ihalagammedda,,,,,,, Udagangoda
,Pallegama Pahalagammedda,,,,,,, Udakanda
,Pallegammedda,,,,,,, Udakendagolla
,Pallehaduwa,,,,,,, Udakohowila
,Pallehena,,,,,,, Udakumbalwela
,Pallekanda,,,,,,, Udakumbura
,Pallekele Kadawidiya,,,,,,, Udalakumbura
,Pallemaoya,,,,,,, Udamallehewa
,Pallepola,,,,,,, Udamulla
,Palletenna,,,,,,, Udapanguwa
,Pallewatta,,,,,,, Udapattiyagama
,Pallewela,,,,,,, Udapattiyakumbura
,Palleyaya,,,,,,, Udaperuwa
,Palu Rotawewa,,,,,,, Udatambana
,Palugama,,,,,,, Udaturegama
,Palukopiwatta,,,,,,, Udawadiya
,Pamunudeniya,,,,,,, Udawalawe
,Pamunuwa,,,,,,, Udawela
,Panabokke,,,,,,, Udayaya
,Panangammana,,,,,,, Udubadana
,Pananwala,,,,,,, Uduhawara
,Panatale,,,,,,, Udukumbalwela
,Panawelulla,,,,,,, Udukumbura
,Pangala,,,,,,, Udumulla
,Pangollamada,,,,,,, Udunuwatta
,Pannagama,,,,,,, Udupillegama
,Pannala,,,,,,, Ukdunuwatta
,Pannala I,,,,,,, Ulpenarawa
,Pannala II,,,,,,, Ulpota
,Pannampitiya,,,,,,, Ulugala
,Pannanpitiya,,,,,,, Ululla
,Panwatta,,,,,,, Ulvita
,Panwila,,,,,,, Uma Ela
,Panwila Town,,,,,,, Unagolla
,Panwilatenna,,,,,,, Unagollegama
,Paradeka,,,,,,, Unampitiya
,Paragahamada,,,,,,, Unapana
,Paragahawela,,,,,,, Unapotuwela
,Paragoda,,,,,,, Uraniya
,Parakatawella,,,,,,, Uraula
,Paranagama,,,,,,, Urumetenna
,Paranagama Hapukotuwegammedda,,,,,,, Urupitiya
,Paranagama Mandandawela,,,,,,, Ussagala
,Patkolagolla,,,,,,, Uyanabedda
,Pattitalawa,,,,,,,Veheragala
,Pattiwela,,,,,,,Velagangoda
,Pattiyamulla,,,,,,,Viharamulla
,Pattunupitiya,,,,,,,Viragaha-elle
,Payingomuwa,,,,,,,Viragahaella
,Pelawa,,,,,,,Vykumbra
,Pelena,,,,,,,Wadawala
,Pelenegama,,,,,,, Wadiyegama
,Pellepitiya,,,,,,, Wagurewela
,Penahetipola,,,,,,, Wahugalla
,Penalaboda,,,,,,, Wakarawa
,Penideniya,,,,,,, Wakkumbura
,Peradeniya,,,,,,, Walakumbura
,Peradenya,,,,,,, Walasbedda
,Petiyagoda,,,,,,, Walasella
,Piharallegam,,,,,,, Walhaputenna
,Pilapitiya,,,,,,, Walikemulla
,Pilawala,,,,,,, Wangiyakumbura
,Piligalla,,,,,,, Waradeniyawa
,Piligama,,,,,,, Waragama
,Pilihudugolla,,,,,,, Waralanda
,Pilihudugolla Ihalagama,,,,,,, Warralande
,Pilihudugolla Pahalagama,,,,,,, Watagodagama
,Piliwela,,,,,,, Watawana
,Pinnalandawatta,,,,,,, Watawanagama
,Pinnawala,,,,,,, Watta
,Pitakanda,,,,,,, Wattakele
,Pitawala,,,,,,, Wattegama
,Pitiyagedera,,,,,,, Wattegedara
,Pitunugama,,,,,,, Wattegepelessa
,Poddalgoda,,,,,,, Wattekele
,Poddalgoda Megodagama,,,,,,, Wattekele
,Pohaliyadda,,,,,,, Wattepanguwa
,Poholiadda,,,,,,, Wattewela
,Pohoranwewayaya,,,,,,, Waywatta
,Pokunuwatta,,,,,,, We-eliya
,Polgaha-anga,,,,,,, Wedigune
,Polgahange,,,,,,, Wedikumbura
,Polgolla,,,,,,, Wediwelagama
,Polmalagama,,,,,,, Weerapokuna
,Polommana,,,,,,, Weerasekeragama
,Polpitiya,,,,,,, Wegama
,Polwatta,,,,,,, Weheragala
,Polwatta Colony,,,,,,, Wekada
,Polwatte Ihalagama,,,,,,, Wekumbura
,Polwattekanda,,,,,,, Welanhinna
,Poppitiya,,,,,,, Welanpela
,Potawa,,,,,,, Welanwita
,Pottallinda,,,,,,, Welegama
,Pottatawela,,,,,,, Welegangoda
,Pottepitiya,,,,,,, Welgolla
,Pottila,,,,,,, Welhaputenna
,Pubbarawela,,,,,,, Weli-aar
,Pubbiliya,,,,,,, Weliara
,Puliyadda,,,,,,, Weliarawa
,Pulleniwatta,,,,,,, Welikadagama
,Punchlrambadagalla,,,,,,, Welikemulla
,Pundaloya,,,,,,, Welimada
,Pundaluoya,,,,,,, Weliulla
,Punduloya,,,,,,, Weliwatta
,Pupuressa,,,,,,, Welkele
,Puraamkumbura,,,,,,, Wellabokka
,Purankumbura,,,,,,, Wellawaya
,Purijjala,,,,,,, Wellawela
,Pussalagolla,,,,,,, Wellebokka
,Pussalakandura,,,,,,, Wellewatta
,Pussalamankada,,,,,,, Wellewela
,Pusse-Ela,,,,,,, Welpita
,Pussella,,,,,,, Weragama
,Pussellagolla,,,,,,, Weragoda
,Pussellawa,,,,,,, Werapokuna
,Pusulpitiya,,,,,,, Weregoda
,Puwakgahagala,,,,,,, Werellapatana
,Puwakpitiya,,,,,,, Wessigewela
,Rabbegamuwa,,,,,,, Wetalawa
,Radagoda,,,,,,, Wevelhinna
,Radewala,,,,,,, Wewagederagama
,Radunnewela,,,,,,, Wewatenna
,Ragala,,,,,,, Wewatta
,Rahatungoda,,,,,,, Wewebedde
,Raitalawa,,,,,,, Wewegama
,Raitalawela,,,,,,, Wewegedaragama
,Rambawela,,,,,,, Wewelhinna
,Ramboda,,,,,,, Widurepola
,Rambuke,,,,,,, Wila Oya
,Rambukella,,,,,,, Wilaatigoda
,Rambukewela,,,,,,, Wilegama
,Rambukkewela,,,,,,, Wiletigoda
,Rambukkoluwa,,,,,,, Willa
,Rambukpitiya,,,,,,, Wilsons Bungalow
,Rambukpota,,,,,,, Wiragahaella
,Rambukpota-anga,,,,,,, Wiranegama
,Rambukwella,,,,,,, Wirasekeragama
,Rammalaka,,,,,,,
,Rammalakandura,,,,,,,
,Ranamure,,,,,,,
,Ranatalawa,,,,,,,
,Ranawa,,,,,,,
,Ranawana,,,,,,,
,Rangala,,,,,,,
,Rangama,,,,,,,
,Rangomuwa,,,,,,,
,Rankiriyagolla,,,,,,,
,Rannantalawa,,,,,,,
,Ranwantalawa,,,,,,,
,Ranwediyawa,,,,,,,
,Rasingolla,,,,,,,
,Rassagoda,,,,,,,
,Ratalawewa,,,,,,,
,Ratmalakaduwa,,,,,,,
,Ratmeewala,,,,,,,
,Ratmiwala,,,,,,,
,Ratninda,,,,,,,
,Ratninda,,,,,,,
,Rattota,,,,,,,
,Ratwatta,,,,,,,
