WesternProvince,CentralProvince,SouthernProvince,SabaragamuwaProvince,EasternProvince,NothernProvince,NothernWesternProvince,NorthCentralProvince,UvaProvince
 Angomuwa,Ambewela,Galapilagama,Amutagoda,Thumpalancholai,Karanthai Vaddavaan,Kachchirawa,Olombewa, Aravakumbura
 Angulana,Ambokka,Galatuduwa,Amuwatta,Trincomalee,Karaitivu,Labugala,Olugallewa, Aravawatte
 Anguruwatota,Ampitiya,Galbada,Amuwatugoda,Uhana,Karunkandalvannakulam,Labuyaya,Pachchalawetiya, Arawa
 Anuragoda,Ampitiya Pallegama,Galboda,Andadola,Udumpankulam,Kayts,Lakadagolla,Padikaramaduwa, Arawakumbura
 Arakagoda,Ampitiya Udagama,Ganegama,Andanawa,Unnichchai,Kerudavil,Landawatta,Padiketuwewa, Arawatta
 Arakawila,"Amuna, Amunewala",Ginimellagaha,Andaoluwa,Uppodai,Kea Thoovu,Lankarangedara,Padikkalamadu Colony, Asweddumegama
 Aramangoda,Amunugama,Habakkala,Andiramada,Uppukkachchimadu,Kilinochchi,Mabo,Padikkaramaduwa, Asweddummulla
 Arambe,Amunumulla,Habaraduwa,Andiyamalatenna,Uppuveli,Kokavil,Mabopitiya,Rada Hammillewa, Asweddumwelagama
 Arambegodella,Amunupitiya,Habaraduwa Central,Andoluwa,Urani(Batticaloa),Kokkuvil,Madadenigama,Rada Rambewa, Atale
 Aramonagolla,Amunupura,Habaraduwa West,Anduwawala,Urachery,Kokkilai,Madadombe,Radagama, Athimale Colony
 Arangala,Amunupure,Habaragaha-ela,Angammana,Uriyankaddu,Kokkuthoduvai,Madagama,Radagamawatta, Attambagaskandura
 Arapangama,Amupitiya,Habarakada,Anghandiya,Urukamam,Kondavil,Maha Danvila,Radapalugaswewa, Attanagola
 Arukgoda,Andagala,Habarattawila,Angoda,Uthuchchenai,Kopay,Mawathagama,Sakalasuriyagama, Attanagolla
 Arukpassa,Andawala,Habarattewala,Angodakanda,Vaddavan,Kovalam,Nabadapokuna,Samudragama, Ayiwela
 Arukwatta,Andawela,Habarattewala,Anguruwawala,Vettilaipoddamadu,Kullapam Kulam,Nabadawa,Sandanankuttigama,Badalagammana
 Arupassa,Andideniya,Haburugala,Anguruwella,Vaddipoddamadu,Kuppilankulam,Nabadawala,Sandigewewa, Badalkumbura
 Asgeriya,Andungama Palkumbura,Ibbawala,Anhandiya,Vaikaladichchenai,Kuppilan Kurichy,Nabadawela,Sangattewa, Badaweltota
 Asgiriwalpola,Andurubebila,Idandukita,Anhettigama,Vakaneri,Maankulam,Nabadawewa,Talakolawewa, Badulla
 Asgiriya,Angammana,Idantota,Anwarama,Vakantonai,Madhu,Obadakotuwa,Talakolewa, Badullagasgedara
 Assenawatta,Angunawala,Igala,Arabboda,Vakarai,Mallavi,Obedagedere,Talapatkulama, Baduludena
 Assennawatta,Angunawela,Ihala Aturaliya,Arachchikumbura,Valaichchenai,Manalkadu,Obodakotuwa,Talattewa, Badulugasgedara
 Atale,Anguruwela,Ihala Beligalla,Arama,Valaiyiravu,Mandativu,Odakkarai,Talawa, Badulupitiyagama
 Atgalgoda,Anguruwella,Ihala Ganegama,Arambegama,Valaitoddam,Manipay,Oggamuwa,Uda Hingura, Baduluwela
Athagama,Ankande Colony,Ihala Keembiya,Aranayaka,Vammivattavan,Mankulam,Pabuluwa,Uda Korasagalla, Bakinidandugolla
Athgalgoda,Ankendagolla,Ihala Kumbukwewa,Arandara,Vammiyadiyuttu,Mannar,Pachchakadumundal,Uda Negama, Bakinidandugollegama
Atigala,Ankumbura,Ihala Omatta,Arawegoda,Vantharumoolai,Meththanveli,Pachchalawela,Uda Nidigama, Bakinigahapitiya
Attanagalla,Ankumbura Pallegama,Ihala Vitiyala,Aruggammana,Vannameddutidal,Mirusuvil,Pachchalawewa,Uda Thibbatuwewa, Bakinigahawela
Attidiya,Ankumbura Udagama,Imaduwa,Aruggoda,Vannatital,Mullaitivu,Pachchalewa,Vadivalaipuliyankulam, Bakinigahawela Vidiya
Atulugama,Appallagoda,Jalampitiya,Arukgammana,Vathakkalmadu,"Mulliyawalai,",Rachchiragama,Valpotuwewa, Bakinilanda
